Name,price,link,amount,total
W25Q32JVSS,$1,https://www.lcsc.com/product-detail/C82344.html,1,
ER_OLEDM0.91_1x-I2C,$4,https://www.aliexpress.com/item/1005011783382489.html?spm=a2g0o.productlist.main.16.eec96c9fLmXFqx&aem_p4p_detail=2026083108000592101245766140000032418&algo_pvid=9276dbd6-9977-4301-a2da-fc7089aabd9e&algo_exp_id=9276dbd6-9977-4301-a2da-fc7089aabd9e-15&pdp_ext_f=%7B%22order%22%3A%2272%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%212376.92%212257.87%21%21%2151.31%2148.74%21%402102f7bd17881884049193720e0f77%2112000056535725831%21sea%21PK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeaa9ff65%3Bm03_new_user%3A-29895&curPageLogUid=u70x6dR5nU3C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011783382489%7C_p_origin_prod%3A&search_p4p_id=2026083108000592101245766140000032418_4,1,
ESP32-S3,$2.88,https://www.lcsc.com/product-detail/rf-transceiver-ics_espressif-systems-esp32-s3_C2913192.html,1,
74HC138,$1,https://www.lcsc.com/product-detail/C5602.html?s_z=s_p_74HC138&spm=wm.fly.bg.0.xh&lcsc_vid=EVVXUFQCRwJeVl1RFQNYBgJVTlEIUF0EFgVeVAZeFlExVlNeT1BWX1JXT1BXVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,1,
74HC574N,$6,https://www.lcsc.com/product-detail/C67579.html?s_z=n_q_74HC574N&spm=wm.fly.bg.0.xh&lcsc_vid=EVVXUFQCRwJeVl1RFQNYBgJVTlEIUF0EFgVeVAZeFlExVlNeT1BWX1JeTlhaXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQldeVUoOAwwC,8,
2N2219,$7,https://www.lcsc.com/product-detail/C37270941.html?s_z=n_q_2N2219&spm=wm.fly.bg.0.xh&lcsc_vid=EVVXUFQCRwJeVl1RFQNYBgJVTlEIUF0EFgVeVAZeFlExVlNeT1BWX1NSQVBeUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQVZbUF1IHxUDCw%3D%3D,8,
USB_C_Receptacle_USB2.0_16P,$0.6,https://www.lcsc.com/product-detail/usb-connectors_shou-han-type-c16pin_C393939.html,1,
AP2112K-3.3,$0.9,https://www.lcsc.com/product-detail/C51118.html?s_z=n_q_AP2112K-3.3&spm=wm.fly.bg.0.xh&lcsc_vid=EVVXUFQCRwJeVl1RFQNYBgJVTlEIUF0EFgVeVAZeFlExVlNeT1BWX11VRVVYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0sTBANDBAsIGQQNEwsUBD4dDwsTWgkPCUkSDhELSgdXQREHCTslRFhdXldfWQkaCgg%3D,1,
Conn_01x08,$5,https://www.aliexpress.com/item/1005004839923910.html?spm=a2g0o.productlist.main.8.12dcT0DrT0Drfw&aem_p4p_detail=202608310811115030219961858000000033137&algo_pvid=615743b9-2328-476d-981e-248689006ca3&algo_exp_id=615743b9-2328-476d-981e-248689006ca3-7&pdp_ext_f=%7B%22order%22%3A%22651%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%2156.06%2149.83%21%21%210.18%210.16%21%400be7129d17881890717411265e0ef6%2112000030696259416%21sea%21PK%210%21X%211%210%21n_tag%3A-29910%3Bd%3Aeaa9ff65%3Bm03_new_user%3A-29895&curPageLogUid=xTL3mOFvH3BJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004839923910%7C_p_origin_prod%3A&search_p4p_id=202608310811115030219961858000000033137_2,8,
100 Capapstor of diff values,$5,,100,
100 resistor  of diff vlaues,$5,,100,
5mm Led Diode RGB Light Emitting 4 Pin Common Anode Cathode Tricolor Multicolor Clear Diffused DIY PCB Lamp Bulb,$25,https://www.aliexpress.com/item/1005003344498436.html?spm=a2g0o.productlist.main.4.6fa642dcHq7hzl&aem_p4p_detail=202608310815013391938804685640000033697&algo_pvid=e6a19ec7-6eca-43fa-9881-c66ea91d721b&algo_exp_id=e6a19ec7-6eca-43fa-9881-c66ea91d721b-3&pdp_ext_f=%7B%22order%22%3A%22392%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PKR%212133.34%212133.34%21%21%216.85%216.85%21%400be71e2017881893011007984e8ecb%2112000025324299198%21sea%21PK%212658356713%21X%211%210%21n_tag%3A-29919%3Bd%3Aeaa9ff65%3Bm03_new_user%3A-29895&curPageLogUid=NNoxxVfOOImU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003344498436%7C_p_origin_prod%3A&search_p4p_id=202608310815013391938804685640000033697_1,512,
,,,,$60
